Time,PV,MV
0,25,100
1,25.6557377,100
2,26.73931739,100
3,28.09989647,100
4,29.63765358,100
5,31.28655118,100
6,33.00292157,100
7,34.75790897,100
8,36.53246494,100
9,38.31403455,100
10,40.09436204,100
11,41.8680379,100
12,43.6315367,100
13,45.38258006,100
14,47.11971478,100
15,48.84203357,100
16,50.54899004,100
17,52.24027628,100
18,53.91574177,100
19,55.57533965,100
20,57.21909125,100
21,58.84706249,100
22,60.45934834,100
23,62.05606252,100
24,63.63733062,100
25,65.20328567,100
26,66.7540651,100
27,68.28980877,100
28,69.8106577,100
29,71.31675321,100
30,72.80823632,100
31,74.28524742,100
32,75.74792602,100
33,77.19641059,100
34,78.63083847,100
35,80.0513458,100
36,81.45806751,100
37,82.85113726,100
38,84.23068747,100
39,85.59684929,100
40,86.94975261,100
41,88.28952609,100
42,89.61629714,100
43,90.93019194,100
44,92.23133544,100
45,93.51985139,100
46,94.79586234,96.46069109
47,96.03628105,91.24555498
48,97.21509605,86.29140345
49,98.31716394,81.66105175
50,99.33492958,77.38567225
51,100.2660428,73.4747424
52,101.1116366,69.92323199
53,101.8750909,66.71675999
54,102.5611542,63.83526184
55,103.1753248,61.2555677
56,103.7234229,58.95318759
57,104.2113002,56.90352178
58,104.6446484,55.08265731
59,105.0288789,53.46786871
60,105.3690526,52.03790945
61,105.6698443,50.77315736
62,105.9355323,49.65565976
63,106.1700024,48.66911161
64,106.3767638,47.79879032
65,106.5589707,47.03146427
66,106.7194473,46.3552869
67,106.8607143,45.75968453
68,106.9850161,45.23524369
69,107.0943467,44.77360144
70,107.1904745,44.36734113
71,107.2749655,44.00989491
72,107.3492049,43.69545369
73,107.4144167,43.41888471
74,107.4716813,43.17565666
75,107.521952,42.96177213
76,107.5660691,42.77370681
77,107.6047733,42.60835507
78,107.6387168,42.46298146
79,107.668474,42.33517741
80,107.6945505,42.22282283
81,107.7173911,42.12405209
82,107.7373873,42.03722377
83,107.7548834,41.96089403
84,107.7701821,41.89379303
85,107.7835498,41.83480409
86,107.7952206,41.78294534
87,107.8054004,41.73735352
88,107.8142701,41.69726971
89,107.8219889,41.66202681
90,107.8286964,41.63103838
91,107.8345158,41.603789
92,107.8395549,41.57982563
93,107.8439087,41.5587501
94,107.8476607,41.54021248
95,107.8508842,41.52390521
96,107.8536436,41.50955803
97,107.8559956,41.4969334
98,107.8579899,41.48582258
99,107.8596703,41.47604215
100,107.8610752,41.4674309
101,107.8622384,41.45984718
102,107.8631895,41.45316649
103,107.8639546,41.44727946
104,107.8645567,41.44208995
105,107.8650158,41.43751349
106,107.8653497,41.43347585
107,107.8655739,41.4299118
108,107.8657021,41.42676403
109,107.8657462,41.42398216
110,107.8657168,41.42152194
111,107.8656233,41.41934447
112,107.8654736,41.41741557
113,107.865275,41.41570521
114,107.8650337,41.414187
115,107.8647553,41.41283774
116,107.8644446,41.41163707
117,107.8641059,41.41056707
118,107.8637429,41.409612
119,107.8633589,41.40875803
120,107.8629568,41.40799303
121,107.8625391,41.40730629
122,107.8621081,41.40668846
123,107.8616656,41.40613126
124,107.8612136,41.40562747
125,107.8607533,41.40517072
126,107.8602862,41.4047554
127,107.8598135,41.40437659
128,107.859336,41.40402999
129,107.8588549,41.40371179
130,107.8583707,41.40341865
131,107.8578843,41.40314763
132,107.8573961,41.40289617
133,107.8569069,41.402662
134,107.8564169,41.40244312
135,107.8559267,41.40223779
136,107.8554365,41.40204446
137,107.8549467,41.40186179
138,107.8544576,41.40168858
139,107.8539694,41.40152379
140,107.8534824,41.40136651
141,107.8529966,41.40121593
142,107.8525122,41.40107133
143,107.8520295,41.4009321
144,107.8515484,41.40079768
145,107.8510692,41.40066759
146,107.8505919,41.40054141
147,107.8501166,41.40041877
148,107.8496434,41.40029933
149,107.8491722,41.40018281
150,107.8487033,41.40006895
151,107.8482365,41.39995754
152,107.8477721,41.39984836
153,107.8473098,41.39974126
154,107.8468499,41.39963607
155,107.8463924,41.39953267
156,107.8459372,41.39943093
157,107.8454843,41.39933075
158,107.8450339,41.39923204
159,107.8445858,41.39913472
160,107.8441401,41.39903871
161,107.8436968,41.39894395
162,107.843256,41.39885039
163,107.8428175,41.39875797
164,107.8423815,41.39866666
165,107.8419478,41.39857641
166,107.8415166,41.39848719
167,107.8410878,41.39839896
168,107.8406614,41.39831171
169,107.8402374,41.39822541
170,107.8398159,41.39814003
171,107.8393967,41.39805556
172,107.8389799,41.39797197
173,107.8385654,41.39788926
174,107.8381534,41.39780741
175,107.8377438,41.39772641
176,107.8373365,41.39764624
177,107.8369316,41.3975669
178,107.836529,41.39748837
179,107.8361288,41.39741065
180,107.8357309,41.39733373
181,107.8353354,41.3972576
182,107.8349422,41.39718226
183,107.8345513,41.3971077
184,107.8341627,41.39703392
185,107.8337765,41.3969609
186,107.8333925,41.39688865
187,107.8330109,41.39681715
188,107.8326315,41.39674642
189,107.8322544,41.39667643
190,107.8318796,41.39660719
191,107.831507,41.39653869
192,107.8311367,41.39647094
193,107.8307687,41.39640392
194,107.8304029,41.39633763
195,107.8300393,41.39627207
196,107.829678,41.39620724
197,107.8293189,41.39614314
198,107.828962,41.39607975
199,107.8286072,41.39601708
200,107.8282547,41.39595513
201,107.8279044,41.39589389
202,107.8275563,41.39583336
203,107.8272104,41.39577354
204,107.8268666,41.39571442
205,107.826525,41.395656
206,107.8261855,41.39559829
207,107.8258482,41.39554127
208,107.825513,41.39548494
209,107.8251799,41.39542931
210,107.824849,41.39537437
211,107.8245202,41.39532011
212,107.8241935,41.39526654
213,107.823869,41.39521365
214,107.8235465,41.39516144
215,107.8232261,41.3951099
216,107.8229078,41.39505905
217,107.8225915,41.39500886
218,107.8222774,41.39495935
219,107.8219652,41.39491051
220,107.8216552,41.39486233
221,107.8213472,41.39481481
222,107.8210412,41.39476796
223,107.8207373,41.39472177
224,107.8204354,41.39467623
225,107.8201355,41.39463135
226,107.8198377,41.39458712
227,107.8195418,41.39454354
228,107.819248,41.39450061
229,107.8189561,41.39445832
230,107.8186662,41.39441668
231,107.8183783,41.39437568
232,107.8180924,41.39433532
233,107.8178085,41.3942956
234,107.8175265,41.39425652
235,107.8172464,41.39421806
236,107.8169683,41.39418024
237,107.8166922,41.39414305
238,107.816418,41.39410648
239,107.8161457,41.39407054
240,107.8158753,41.39403522
241,107.8156068,41.39400052
242,107.8153403,41.39396643
243,107.8150756,41.39393297
244,107.8148129,41.39390012
245,107.814552,41.39386788
246,107.8142931,41.39383625
247,107.814036,41.39380523
248,107.8137807,41.39377481
249,107.8135274,41.393745
250,107.8132758,41.39371579
251,107.8130262,41.39368718
252,107.8127784,41.39365917
253,107.8125324,41.39363175
254,107.8122882,41.39360493
255,107.8120459,41.3935787
256,107.8118054,41.39355306
257,107.8115667,41.393528
258,107.8113299,41.39350354
259,107.8110948,41.39347965
260,107.8108615,41.39345635
261,107.81063,41.39343363
262,107.8104003,41.39341148
263,107.8101724,41.39338992
264,107.8099462,41.39336892
265,107.8097218,41.3933485
266,107.8094992,41.39332865
267,107.8092783,41.39330937
268,107.8090592,41.39329065
269,107.8088418,41.3932725
270,107.8086261,41.39325491
271,107.8084122,41.39323788
272,107.8082,41.39322141
273,107.8079895,41.39320549
274,107.8077807,41.39319013
275,107.8075737,41.39317533
276,107.8073683,41.39316108
277,107.8071646,41.39314737
278,107.8069626,41.39313421
279,107.8067624,41.3931216
280,107.8065637,41.39310954
281,107.8063668,41.39309801
282,107.8061715,41.39308703
283,107.8059779,41.39307658
284,107.8057859,41.39306667
285,107.8055956,41.39305729
286,107.805407,41.39304845
287,107.8052199,41.39304014
288,107.8050345,41.39303236
289,107.8048508,41.39302511
290,107.8046686,41.39301838
291,107.8044881,41.39301218
292,107.8043092,41.39300649
293,107.8041319,41.39300133
294,107.8039562,41.39299669
295,107.8037821,41.39299257
296,107.8036095,41.39298896
297,107.8034386,41.39298586
298,107.8032692,41.39298328
299,107.8031015,41.39298121
